   3719.4348          ThI
   3803.0750          ThI
   4131.7235          ArI
   4158.5903          ArI
   4348.0640         ArII
   4493.3335          ThI
   4545.0518         ArII
   4703.9897          ThI
   4764.8647         ArII
   4879.8635         ArII
   5231.1597          ThI
   5312.0018          ThII
   5343.5811          ThI
   5720.1828          ThI
   5760.5508          ThI
   6342.8594          ThI
   6457.2822          ThI
   6531.3418          ThI
   6911.2266          ThI
   6965.4307          ArI
   7067.2183          ArI
   7147.0415          ArI
   7272.9360          ArI
   7383.9805          ArI
   7635.1060          ArI
   7724.2070          ArI
   7948.1763          ArI
   8264.5225          ArI
   8521.4422          ArI
   8667.9442          ArI
   9122.9674          ThI
   9224.4992          ArI
   9354.2198          ArI
   9657.7863          ArI
   9784.5028          ArI
