   6182.6217
   6342.8594          ThI
   6457.2824
   6531.3418          ThI
   6662.2686
   6871.2891
   6911.2264          ThI
   6965.4307          ArI
   7067.2181          ArI
   7147.0415          ArI
   7272.9359          ArI
   7383.9805          ArI
   7503.8691
   7514.6518
   7635.1060          ArI
   7724.2072          ArI
   7948.1764          ArI
   8006.1567
   8014.7857
   8103.6931
   8115.3110          ArI
   8264.5225          ArI
   8408.2096          ArI
   8424.6475          ArI
   8521.4422          ArI
   8667.9442          ArI
   9122.9674          ThI
   9224.4992          ArI
   9354.2198          ArI
   9657.7863          ArI
   9784.5028          ArI
   10470.0535         ArI
